question,choices,answer,level,subject
Which of the following structures should be visible on a dental panoramic radiograph?,"['A. The mandibular canal', 'B. The mandibular canal and maxillary sinus', 'C. The mandibular canal, maxillary sinus and hard palate', 'D. The mandibular canal, maxillary sinus, hard palate and zygomatic arch']","D. The mandibular canal, maxillary sinus, hard palate and zygomatic arch",college,anatomy
The head of the sixth rib articulates with,"['A. The inferior articular facet of T5 and superior articular facet of T6.', 'B. The inferior articular demifacet of T5 and superior articular facet of T6.', 'C. The inferior articular demifacet of T5 and the superior articular demifacet of T6.', 'D. The superior and inferior demifacets of T6.']",C. The inferior articular demifacet of T5 and the superior articular demifacet of T6.,college,anatomy
Which of the following is the point at which an impulse is transmitted from one neuron to another neuron?,"['A. Dendrite', 'B. Glial cell', 'C. Nerve center', 'D. Synapse']",D. Synapse,college,anatomy
Which of the following is flexible connective tissue that is attached to bones at the joints?,"['A. Adipose', 'B. Cartilage', 'C. Epithelial', 'D. Muscle']",B. Cartilage,college,anatomy
Tonsillar tissue is commonly found,"['A. on the posterior wall of the oropharynx.', 'B. under the mucosa of the ventral surface of the tongue.', 'C. between the palatoglossal and palatopharyngeal folds.', 'D. at all three sites.']",C. between the palatoglossal and palatopharyngeal folds.,college,anatomy
What is the embryological origin of the hyoid bone?,"['A. The first pharyngeal arch', 'B. The first and second pharyngeal arches', 'C. The second pharyngeal arch', 'D. The second and third pharyngeal arches']",D. The second and third pharyngeal arches,college,anatomy
Which of the following statements is true of the temporomandibular joint?,"['A. It has an articular disc of hyaline cartilage', 'B. Its articular surfaces are covered by hyaline cartilage', 'C. Proprioceptive information is carried by the chorda tympani and deep temporal nerves', 'D. Proprioceptive information is carried by the masseteric and auriculotemporal nerves.']",D. Proprioceptive information is carried by the masseteric and auriculotemporal nerves.,college,anatomy
The maxillary sinus,"['A. is lined by stratified squamous epithelium.', 'B. drains into the superior meatus of the nasal cavities.', 'C. is innervated by branches of the maxillary division of the trigeminal nerve.', 'D. Receives its blood supply from the first part of the maxillary artery.']",C. is innervated by branches of the maxillary division of the trigeminal nerve.,college,anatomy
Which is the least likely cause of death?,"['A. Being hit in the head by a bullet.', 'B. Being hit by a small meteorite.', 'C. Starvation during global winter caused by a major impact.', 'D. Driving while intoxicated without wearing seatbelts.']",B. Being hit by a small meteorite.,college,astronomy
What would weigh the most on the moon?,"['A. A kilogram of feathers', 'B. Five pounds of bricks as measured on Earth', 'C. Five kilograms of feathers', 'D. A kilogram of bricks']",C. Five kilograms of feathers,college,astronomy
Kirkwood gaps are observed in the main asteroid belt including at the position(s) where:,"['A. asteroids would orbit with a period half that of Jupiter', 'B. asteroids would orbit with a period twice that of Jupiter', 'C. asteroids would orbit with a period twice that of Mars', 'D. A and B']",A. asteroids would orbit with a period half that of Jupiter,college,astronomy
Which of the following is/are common feature(s) of all fresh (i.e. not eroded) impact craters formed on solid surfaces:,"['A. ejecta', 'B. raised rims', 'C. central peaks', 'D. A and B only']",D. A and B only,college,astronomy
If you lived on Venus what phases of the Earth would you see? (Assume your telescope can see through Venus’s thick clouds…),"['A. New first quarter full third quarter', 'B. Waning crescent New Waxing crescent', 'C. Waxing gibbous Full Waning gibbous', 'D. New only']",C. Waxing gibbous Full Waning gibbous,college,astronomy
"How do we think the ""hot Jupiters"" around other stars were formed?","['A. They where formed when their stars flung material out into the system in a process similar to planetary fission.', 'B. They formed as gas giants beyond the frost line and then migrated inwards.', 'C. They formed as dense rocky planets close to the star in the same orbits that they are seen today.', 'D. They formed as gas giants close to the star in the same orbits that they are seen today.']",B. They formed as gas giants beyond the frost line and then migrated inwards.,college,astronomy
In astronomy the concept of black bodies is very important to better calculate the radiation of stars. Which one is the correct definition of a black body?,"['A. An idealized physical object that reflects all electromagnetic radiation.', 'B. An idealized physical object that absorbs all electromagnetic radiation.', 'C. An idealized physical object that reflects all polarized radiation.', 'D. An idealized physical object that absorbs all polarized radiation.']",B. An idealized physical object that absorbs all electromagnetic radiation.,college,astronomy
How did Eratosthenes estimate the size of Earth in 240 B.C.?,"['A. By observing the duration of a solar eclipse.', ""B. By measuring the size of Earth's shadow on the Moon in a lunar eclipse."", 'C. By comparing the maximum altitude of the Sun in two cities at different latitudes at the same time on the same day.', 'D. By sending fleets of ships around Earth.']",C. By comparing the maximum altitude of the Sun in two cities at different latitudes at the same time on the same day.,college,astronomy
The International Space Station (ISS) circles the Earth approximately 410 km above the ground. Find the best estimate for the orbital speed of the ISS:,"['A. 19000 km/h', 'B. 21000 km/h', 'C. 28000 km/h', 'D. 32000 km/h']",C. 28000 km/h,college,astronomy
You’ve made a scientific theory that there is an attractive force between all objects. When will your theory be proven to be correct?,"['A. The first time you drop a bowling ball and it falls to the ground proving your hypothesis.', 'B. After you’ve repeated your experiment many times.', 'C. You can never prove your theory to be correct only “yet to be proven wrong”.', 'D. When you and many others have tested the hypothesis.']",C. You can never prove your theory to be correct only “yet to be proven wrong”.,college,astronomy
Which is not an essential requirement for life as we know it?,"['A. The ability to breathe oxygen', 'B. The ability to make energy from sunlight or to eat things that do', 'C. A source of organic molecules', 'D. A and B']",D. A and B,college,astronomy
"What is true for a type-Ia (""type one-a"") supernova?","['A. This type occurs in binary systems.', 'B. This type occurs in young galaxies.', 'C. This type produces gamma-ray bursts.', 'D. This type produces high amounts of X-rays.']",A. This type occurs in binary systems.,college,astronomy
Suppose the angular separation of two stars is smaller than the angular resolution of your eyes. How will the stars appear to your eyes?,"['A. You will not be able to see these two stars at all.', 'B. You will see two distinct stars.', 'C. The two stars will look like a single point of light.', 'D. The two stars will appear to be touching looking rather like a small dumbbell.']",C. The two stars will look like a single point of light.,college,astronomy
Why isn't there a planet where the asteroid belt is located?,"['A. A planet once formed here but it was broken apart by a catastrophic collision.', 'B. There was not enough material in this part of the solar nebula to form a planet.', 'C. There was too much rocky material to form a terrestrial planet but not enough gaseous material to form a jovian planet.', 'D. Resonance with Jupiter prevented material from collecting together to form a planet.']",D. Resonance with Jupiter prevented material from collecting together to form a planet.,college,astronomy
If you know both the actual brightness of an object and its apparent brightness from your location then with no other information you can estimate:,"['A. Its speed relative to you', 'B. Its composition', 'C. Its size', 'D. Its distance from you']",D. Its distance from you,college,astronomy
"In humans, a hereditary disorder called xeroderma pigmentosum (XP) can result in the inability to repair ultraviolet damage to DNA. Which of the following molecular lesions is most likely to accrue in individuals with XP?","['A. Thymine dimers', 'B. Deamination of cytosine', 'C. Depurination', 'D. Single strand DNA breaks']",A. Thymine dimers,college,biology
"In garden peas, the allele for tall plants (D) is completely dominant to the allele for dwarf plants (d) and the allele for violet flower color (W) is completely dominant to the allele for white flower color (w). In a cross between a tall violet plant, with the genotype DDWw, and a dwarf white plant, what phenotypic ratio of the progeny would be expected from this cross?","['A. All tall violet', 'B. 1 tall violet: 1 dwarf violet', 'C. 1 tall violet: 1 tall white: 1 dwarf violet: 1 dwarf white', 'D. 1 tall violet: 1 tall white']",D. 1 tall violet: 1 tall white,college,biology
Which of the following statements is true of air as compared to water?,"['A. Air provides more physical support.', 'B. Air has a higher O2 concentration.', 'C. Air offers more resistance to motion.', 'D. Air has more thermal inertia.']",B. Air has a higher O2 concentration.,college,biology
"An organism with a lobed thallus, rhizoids, and gemmae is a","['A. moss', 'B. liverwort', 'C. fern', 'D. mushroom']",B. liverwort,college,biology
A marine ecosystem region characterized by penetrance of solar radiation and upwelling of nutrients is the,"['A. bathyl zone', 'B. neritic zone', 'C. pelagic zone', 'D. benthyl zone']",B. neritic zone,college,biology
An organism belonging to the nekton is which one of the following?,"['A. Whale', 'B. Barnacle', 'C. Cyanobacterium', 'D. Protist']",A. Whale,college,biology
All of the following statements about muscle contraction are true EXCEPT:,"['A. The ends of actin filaments move closer together.', 'B. The length of myosin filaments does not change.', 'C. Calcium-troponin binding precedes actin-myosin binding.', 'D. Calcium-tropomyosin binding precedes actin-myosin binding.']",D. Calcium-tropomyosin binding precedes actin-myosin binding.,college,biology
"A plant that possesses swimming sperm, xylem with tracheids, independent gametophyte and sporophyte phases, and no seeds is probably most closely related to","['A. mosses', 'B. pines', 'C. ferns', 'D. liverworts']",C. ferns,college,biology
Which of the following must be true in order for evolution to have occurred?,"[""A. The frequencies of some alleles in a population's gene pool has changed over successive generations."", ""B. The frequencies of some alleles in a population's gene pool has changed during the organisms' lifetimes."", ""C. The frequencies of each allele in a population's gene pool has remained constant over successive generations."", ""D. The frequencies of each allele in an organism's genotype has remained constant within the organism's lifetime.""]",A. The frequencies of some alleles in a population's gene pool has changed over successive generations.,college,biology
"According to Hamilton’s rule, an altruistic trait can evolve if c < br, where c is the fitness cost of the altruistic behavior to the donor, b is the fitness benefit to the recipient, and r is the","['A. coefficient of relatedness', 'B. frequency of the altruistic allele', 'C. inbreeding coefficient', 'D. rate of reciprocity']",A. coefficient of relatedness,college,biology
"Nerve outgrowth from a developing neuron begins at the growth cone, located at the tip of the axon. Microspikes of the growth cone extend and retract in order to move the growth cone forward. Exposure of the neuron to cytochasalin B at this stage of development causes","['A. microtubules in the axon to undergo reversible dissociation', 'B. microtubules in the axon to undergo irreversible dissociation', 'C. microfilaments in the microspike to undergo reversible depolymerization', 'D. microfilaments in the microspike to undergo irreversible depolymerization']",C. microfilaments in the microspike to undergo reversible depolymerization,college,biology
Which of the following traits do prokaryotes and eukaryotes have in common?,"['A. A single chromosome carries the entire genome.', 'B. Chromosomes are circular.', 'C. Replication is bidirectional.', 'D. Molecular weight of respective DNA is comparable.']",C. Replication is bidirectional.,college,biology
"The process in which pioneer species colonize a bare substrate such as rock, sand, or glacial till is known as","['A. weathering', 'B. stabilizing succession', 'C. secondary succession', 'D. primary succession']",D. primary succession,college,biology
Which of the following is a correct statement about the cohesion-tension theory for the ascent of water in the xylem?,"['A. The evaporation of water from leaf mesophyll cells generates tension in the water column.', 'B. Water moves from a source region with high hydrostatic pressure to a sink region with low hydrostatic pressure.', 'C. The cohesion of water molecules is responsible for the formation of embolisms (air bubbles) in the water column.', 'D. Living cells of the xylem provide the main conduit for an ascent of water.']",A. The evaporation of water from leaf mesophyll cells generates tension in the water column.,college,biology
"Based on the characteristic population curves that result from plotting population growth of a species, the most effective means of controlling the mosquito population is to","['A. maintain the population at a point corresponding to the midpoint of its logistic curve', 'B. opt for zero population control once the K value of the curve has been reached', 'C. reduce the carrying capacity cif the environment to lower the K value', 'D. increase the mortality rate']",C. reduce the carrying capacity cif the environment to lower the K value,college,biology
What is the NMR frequency of 31P in a 20.0 T magnetic field?,"['A. 54.91 MHz', 'B. 239.2 MHz', 'C. 345.0 MHz', 'D. 2167 MHz']",C. 345.0 MHz,college,chemistry
"Suppose that the 13C nuclei in a molecule in a 600 MHz spectrometer can be 100% polarized (p = 1). If T1 = 5.0 s, how long does it take for p to reach a value equal to twice the thermal equilibrium polarization at 298 K?","['A. [The polarization relaxes exponentially: p(t) = [p(0) - peq]exp(-t/T1) + peq.]', 'B. 72.0 s', 'C. 56.6 s', 'D. 12.7 s']",B. 72.0 s,college,chemistry
Which of the following is always true of a spontaneous process?,"['A. The process is exothermic.', 'B. The process does not involve any work.', 'C. The entropy of the system increases.', 'D. The total entropy of the system plus surroundings increases.']",D. The total entropy of the system plus surroundings increases.,college,chemistry
A buffer is made from equal concentrations of a weak acid and its conjugate base. Doubling the volume of the buffer solution by adding water has what effect on its pH?,"['A. It has little effect.', 'B. It significantly increases the pH.', 'C. It significantly decreases the pH.', 'D. It changes the pH asymptotically to the pKa of the acid.']",A. It has little effect.,college,chemistry
"The 99Ru chemical shift of [Ru(H2O)6]2+ is 16,050 ppm relative to [Ru(CN)6]2- at 0 ppm. The electronic excitation energies of [Ru(H2O)6]2+, [Ru(CN)6]2- and [Ru(NH3)6]2+ are 18,900, 40,000 and 25,600 cm-1 respectively. Assuming that the chemical shift differences are dominated by paramagnetic currents, determine the chemical shift of [Ru(NH3)6]2+.","['A. 7,530 ppm', 'B. 8,090 ppm', 'C. 11,070 ppm', 'D. 14,840 ppm']","B. 8,090 ppm",college,chemistry
A substance that is NOT generally considered to be a toxic pollutant in water is,"['A. carbonic acid', 'B. a halogenated hydrocarbon', 'C. lead', 'D. mercury']",A. carbonic acid,college,chemistry
"The amplitude of a free induction decay drops to 25% of its initial intensity after 1.0 s. Assuming exponential relaxation and Ω = 0, determine the value of T2.","['A. 0.721 s', 'B. 0.750 s', 'C. 1.386 s', 'D. 1.661 s']",D. 1.661 s,college,chemistry
A set of hybrid sp^3 orbitals for a carbon atom is given above. Which of the following is NOT true about the orbitals?,"['A. The orbitals are degenerate.', 'B. The set of orbitals has a tetrahedral geometry.', 'C. These orbitals are constructed from a linear combination of atomic orbitals.', 'D. Each hybrid orbital may hold four electrons.']",D. Each hybrid orbital may hold four electrons.,college,chemistry
The Rydberg equation v = R_H(1/n_1^2 - 1/n_2^2) accurately predicts the UV-visible emission spectrum of the hydrogen atom. A form of the Rydberg equation may also be used to predict the UV-visible emission for all of the following EXCEPT,"['A. hydride ion, H−', 'B. deuterium atom, D', 'C. tritium atom, T', 'D. helium cation, He+']","A. hydride ion, H−",college,chemistry
"Which of the following procedures tend(s) to minimize the influence of random errors on measured results?
I. Signal averaging
II. Use of internal standards
III. Averaging the results from multiple samples","['A. I only', 'B. II only', 'C. III only', 'D. I and III only']",D. I and III only,college,chemistry
The solid-state structures of the principal allotropes of elemental boron are made up of which of the following structural units?,"['A. B12 icosahedra', 'B. B8 cubes', 'C. B6 octahedra', 'D. B4 tetrahedra']",A. B12 icosahedra,college,chemistry
Exact solutions of the Schrödinger equation CANNOT be obtained for a,"['A. simple harmonic oscillator', 'B. particle in a one-dimensional box', 'C. rigid rotor', 'D. helium atom']",D. helium atom,college,chemistry
Which of the following is a true statement about optical isomerism of complexes containing achiral ligands?,"['A. Square planar complexes can display optical isomerism only if all four ligands are identical.', 'B. Tetrahedral complexes never display optical isomerism.', 'C. Linear complexes can display optical isomerism when both ligands are different.', 'D. Octahedral complexes of monodentate ligands can display optical isomerism only when they have at least three different ligands.']",D. Octahedral complexes of monodentate ligands can display optical isomerism only when they have at least three different ligands.,college,chemistry
The strongest base in liquid ammonia is,"['A. NH3', 'B. NH2−', 'C. NH4+', 'D. N2H4']",B. NH2−,college,chemistry
A Cu(II) metal ion (giso = 2.12) produces four lines with a separation of 500 MHz between each line. Express the hyperfine splitting in field units of mT and the hyperfine coupling in units of wavenumbers.,"['A. 500 MHz = 0.185 mT = 0.29842 cm-1', 'B. 500 MHz = 16.850 mT = 0.01667 cm-1', 'C. 500 MHz = 32.953 mT = 0.76298 cm-1', 'D. 500 MHz = 45.672 mT = 2.86329 cm-1']",C. 500 MHz = 32.953 mT = 0.76298 cm-1,college,chemistry
"Which of the following statements about circuits is (are) true?
I. Combinational circuits may have feedback; sequential circuits do not.
II. Combinational circuits have a ""memoryless"" property; sequential circuits do not.
III. Both sequential and combinational circuits must be controlled by an external clock.","['A. I only', 'B. II only', 'C. I and II only', 'D. II and III only']",B. II only,college,computer_science
"Suppose that a certain software product has a mean time between failures of 10,000 hours and has a mean time to repair of 20 hours. If the product is used by 100 customers, what is its availability?","['A. 80%', 'B. 90%', 'C. 98%', 'D. 99.80%']",D. 99.80%,college,computer_science
"A particular parallel program computation requires 100 seconds when executed on a single processor. If 40 percent of this computation is ""inherently sequential"" (i.e., will not benefit from additional processors), then the theoretically best possible elapsed times for this program running with 2 and 4 processors, respectively, are","['A. 20 and 10 seconds', 'B. 30 and 15 seconds', 'C. 50 and 25 seconds', 'D. 70 and 55 seconds']",D. 70 and 55 seconds,college,computer_science
"Let G = (V, E) be a connected, undirected graph, and let a and b be two distinct vertices in V. Let P_1 be the problem of finding a shortest simple path between a and b, and let P_2 be the problem of finding a longest simple path between a and b. Which of the following statements about P_1 and P_2 is true?","['A. Both P_1 and P_2 can be solved in polynomial time.', 'B. P_1 can be solved in polynomial time but P_2 is not known to be solvable in polynomial time.', 'C. P_1 is not known to be solvable in polynomial time but P_2 can be solved in polynomial time.', 'D. It is not known whether either P_1 or P_2 can be solved in polynomial time.']",B. P_1 can be solved in polynomial time but P_2 is not known to be solvable in polynomial time.,college,computer_science
"Function signatures describe the types of the arguments to a function as well as the return value of the function. For instance, the addition function on reals has a signature of
add : real x real -> real
since it takes two real numbers and returns a real number. But, for a language that allows functions as return values, addition could be considered to have the signature
add : real -> (real -> real)
which means that add takes a single real (the first operand) and returns a new function that itself takes a single real (the second operand) and returns a real (the result). This process of reducing a function with multiple arguments to a function with fewer arguments is called currying. Which of the following is correct?","['A. Currying can be applied to any function to the point where it has exactly one input argument.', 'B. Currying cannot be applied to functions of more than two arguments.', 'C. Currying cannot be applied to functions that return functions as arguments.', 'D. Currying cannot be applied w functions that haw arguments that are functions.']",A. Currying can be applied to any function to the point where it has exactly one input argument.,college,computer_science
Sometimes the object module produced by a compiler includes information (from the symbol table) mapping all source program names to their addresses. The most likely purpose of this information is,"['A. for use as input to a debugging aid', 'B. to increase the run-time efficiency of the program', 'C. for the reduction of the symbol-table space needed by the compiler', 'D. to tell the loader where each variable belongs']",A. for use as input to a debugging aid,college,computer_science
"Mergesort works by splitting a list of n numbers in half, sorting each half recursively, and merging the two halves. Which of the following data structures will allow mergesort to work in O(n log n) time?
I. A singly linked list
II. A doubly linked list
III. An array","['A. None', 'B. III only', 'C. I and II only', 'D. I, II, and III']","D. I, II, and III",college,computer_science
"Consider the following possible data structures for a set of n distinct integers.
I. A min-heap
II. An array of length n sorted in increasing order
III. A balanced binary search tree
For which of these data structures is the number of steps needed to find and remove the 7th largest element O(log n) in the worst case?","['A. I only', 'B. II only', 'C. I and II', 'D. II and III']",D. II and III,college,computer_science
"In systems with support for automatic memory management, a garbage collector typically has the responsibility for reclaiming allocated memory objects whose contents cannot affect any future legal computation. Such objects are identified by determining that they cannot be reached from a root set. Which of the following is NOT part of the root set in a typical garbage collector?","['A. Actual parameters of the active procedures', 'B. Dynamically allocated objects on the heap', 'C. Global variables of the program', 'D. Local variables on the call stack']",B. Dynamically allocated objects on the heap,college,computer_science
Which of the following statements about a remote procedure call is true?,"['A. It is used to call procedures with addresses that are farther than 2^16 bytes away.', 'B. It cannot return a value.', 'C. It cannot pass parameters by reference.', 'D. It cannot call procedures implemented in a different language.']",C. It cannot pass parameters by reference.,college,computer_science
"Array A contains 256 elements of 4 bytes each. Its first element is stored at physical address 4,096.
Array B contains 512 elements of 4 bytes each. Its first element is stored at physical address 8,192.
Assume that only arrays A and B can be cached in an initially empty, physically addressed, physically tagged, direct-mapped, 2K-byte cache with an 8-byte block size. The following loop is then executed.
for (i = 0; i < 256; i++)
        A[i] = A[i] + B[2*i];
During the execution of the loop, how many bytes will be written to memory if the cache has a write-through policy?","['A. 0', 'B. 256', 'C. 1024', 'D. 2048']",C. 1024,college,computer_science
"Which of the following considerations applies (apply) to choosing the page size in a paging system?
I. An advantage of larger pages is that they lead to smaller page tables.
II. An advantage of smaller pages is that they lead to less waste due to internal fragmentation.
III. Normally, the dominant factor in disk access time is not dependent on page length, so longer pages can be used advantageously.","['A. I only', 'B. II only', 'C. I and III only', 'D. I, II, and III']","D. I, II, and III",college,computer_science
"A certain pipelined RISC machine has 8 general-purpose registers R0, R1, . . . , R7 and supports the following operations.
ADD Rs1, Rs2, Rd Add Rs1 to Rs2 and put the sum in Rd
MUL Rs1, Rs2, Rd Multiply Rs1 by Rs2 and put the product in Rd
An operation normally takes one cycle; however, an operation takes two cycles if it produces a result required by the immediately following operation in an operation sequence. Consider the expression AB + ABC + BC, where variables A, B, C are located in registers R0, R1, R2. If the contents of these three registers must not be modified, what is the minimum number of clock cycles required for an operation sequence that computes the value of AB + ABC + BC?","['A. 5', 'B. 6', 'C. 7', 'D. 8']",B. 6,college,computer_science
"Let T be a depth-first search tree of a connected undirected graph G. For each vertex v of T, let pre(v) be the number of nodes visited up to and including v during a preorder traversal of T, and post(v) be the number of nodes visited up to and including v during a postorder traversal of T. The lowest common ancestor of vertices u and v in T is a vertex w of T such that w is an ancestor of both u and v, and no child of w is an ancestor of both u and v. Let (u, v) be an edge in G that is not in T, such that pre(u) < pre(v). Which of the following statements about u and v must be true?
I. post(u) < post(v)
II. u is an ancestor of v in T.
III. If w is the lowest common ancestor of u and v in T, then w = u.","['A. I only', 'B. II only', 'C. III only', 'D. II and III']",D. II and III,college,computer_science
"One approach to handling fuzzy logic data might be to design a computer using ternary (base-3) logic so that data could be stored as “true,” “false,” and “unknown.” If each ternary logic element is called a flit, how many flits are required to represent at least 256 different values?","['A. 4', 'B. 5', 'C. 6', 'D. 7']",C. 6,college,computer_science
Which of the following does authentication aim to accomplish?,"['A. Restrict what operations/data the user can access', 'B. Determine if the user is an attacker', 'C. Flag the user if he/she misbehaves', 'D. Determine who the user is']",D. Determine who the user is,college,computer_security
Encapsulating Security Payload (ESP) belongs to which Internet Security Protocol?,"['A. Secure Socket Layer Protocol', 'B. Secure IP Protocol', 'C. Secure Http Protocol', 'D. Transport Layer Security Protocol']",B. Secure IP Protocol,college,computer_security
Suppose you want to use fuzzing on a program to try to find memory errors; which of the following statements is true?,"['A. You should not use a grammar-based fuzzer, because its adherence to the grammar means it will not find memory errors', 'B. Compiling the program with address sanitizer (ASAN) will make errors harder to reproduce', 'C. Compiling the program with address sanitizer (ASAN) will make the source of a memory error easier to find', ""D. Fuzzing doesn't find memory errors, it finds crashes and hangs""]",C. Compiling the program with address sanitizer (ASAN) will make the source of a memory error easier to find,college,computer_security
Which among them has the strongest wireless security?,"['A. WEP', 'B. WPA', 'C. WPA2', 'D. WPA3']",D. WPA3,college,computer_security
1. _________ framework made cracking of vulnerabilities easy like point and click.,"['A. .Net', 'B. Metasploit', 'C. Zeus', 'D. Ettercap']",B. Metasploit,college,computer_security
Which of the following is true of mutation-based fuzzing?,"['A. It generates each different input by modifying a prior input', 'B. It works by making small mutations to the target program to induce faults', 'C. Each input is mutation that follows a given grammar', 'D. It only makes sense for file-based fuzzing, not network-based fuzzing']",A. It generates each different input by modifying a prior input,college,computer_security
Exploitation of the Heartbleed bug permits,"['A. overwriting cryptographic keys in memory', 'B. a kind of code injection', 'C. a read outside bounds of a buffer', 'D. a format string attack']",C. a read outside bounds of a buffer,college,computer_security
What is a nop sled,"['A. It is an anonymous version of a mop sled', 'B. It is a sequence of nops preceding injected shellcode, useful when the return address is unknown', 'C. It is a method of removing zero bytes from shellcode', 'D. It is another name for a branch instruction at the end of sequence of nops']","B. It is a sequence of nops preceding injected shellcode, useful when the return address is unknown",college,computer_security
"Let I = (S,V)I=(S,V) be a MAC. Suppose S(k,m)S(k,m) is always 5 bits long. Can this MAC be secure?","['A. No, an attacker can simply guess the tag for messages', 'B. It depends on the details of the MAC', 'C. Yes, the attacker cannot generate a valid tag for any message', 'D. Yes, the PRG is pseudorandom']","A. No, an attacker can simply guess the tag for messages",college,computer_security
